experiment	total_s	per_iter_ms	n_iters	inertia	status	notes
baseline_addmm_noshift	1.296	13.0	100	-	KEEP	addmm fused assign + no-shift fast path, mx.compile, f16 assign
sorted_index_centroid	1.436	14.4	100	58135796	DISCARD	argsort+sorted scatter_add: 11% slower, argsort overhead dominates
deferred_eval_10	1.269	12.7	100	58123844	KEEP	eval every 10 iters instead of every iter: 1.9% faster
b1_fast_path_centroid	1.287	12.9	100	58151024	DISCARD	B=1 skip loop/stack in centroid update: no gain, compiled handles it
deferred_eval_25_50_100	1.284	12.8	100	58125344	DISCARD	eval_every=25/50/100 all ~1.284s, no gain beyond eval_every=10
f32_addmm_assign	1.336	13.4	100	58127324	DISCARD	f32 addmm instead of f16: 5% slower, f16 throughput advantage is real
k_chunked_250	1.484	14.8	100	58138344	DISCARD	K-chunked assign K=250: 17% slower, loop+ops overhead > cache benefit
k_chunked_500	1.442	14.4	100	58148464	DISCARD	K-chunked assign K=500: 14% slower, same issue
metal_argmax	0.876	8.8	100	58141040	KEEP	custom Metal kernel argmax: 31% faster, mx.argmax was 5.8ms vs 2.2ms
metal_argmax_vec4_tg1024	0.879	8.8	100	58150520	KEEP	vec4 loads + threadgroup 1024: marginal, commit for cleaner code
metal_atomic_centroid	4.41	-	-	-	DISCARD	Metal atomic centroid update: 2.6x slower than scatter_add (contention)
squeeze_2d_matmul	0.881	8.8	100	58128040	DISCARD	2D matmul (squeeze batch): no gain in compiled pipeline
